Country;Region;Population (millions);HDI;GDPperCapita;Cropland Footprint;Grazing Footprint;Forest Footprint;Carbon Footprint;Fish Footprint;Total Ecological Footprint;Cropland;Grazing Land;Forest Land;Fishing Water;Urban Land;Total Biocapacity;Biocapacity Deficit or Reserve;Deficit Quartile group;Deficit or reserve;Quartile GDP;HDI median comparaison
Afghanistan;Middle East/Central Asia;29.82;0.46;614.66;0.3;0.2;0.08;0.18;0;0.79;0.24;0.2;0.02;0;0.04;0.5;-0.3;3rd quartile deficit total;deficit;1st quartile;lowest group
Albania;Northern/Eastern Europe;3.16;0.73;4534.37;0.78;0.22;0.25;0.87;0.02;2.21;0.55;0.21;0.29;0.07;0.06;1.18;-1.03;2nd quartile deficit total;deficit;2nd quartile;highest group
Algeria;Africa;38.48;0.73;5430.57;0.6;0.16;0.17;1.14;0.01;2.12;0.24;0.27;0.03;0.01;0.03;0.59;-1.53;2nd quartile deficit total;deficit;2nd quartile;highest group
Angola;Africa;20.82;0.52;4665.91;0.33;0.15;0.12;0.2;0.09;0.93;0.2;1.42;0.64;0.26;0.04;2.55;1.61;4th quartile deficit total;reserve;2nd quartile;lowest group
Antigua and Barbuda;Latin America;0.09;0.78;13205.1;NA;NA;NA;NA;NA;5.38;NA;NA;NA;NA;NA;0.94;-4.44;1st quartile deficit total;deficit;3rd quartile;highest group
Argentina;Latin America;41.09;0.83;13540;0.78;0.79;0.29;1.08;0.1;3.14;2.64;1.86;0.66;1.67;0.1;6.92;3.78;4th quartile deficit total;reserve;3rd quartile;highest group
Armenia;Middle East/Central Asia;2.97;0.73;3426.39;0.74;0.18;0.34;0.89;0.01;2.23;0.44;0.26;0.1;0.02;0.07;0.89;-1.35;2nd quartile deficit total;deficit;2nd quartile;highest group
Aruba;Latin America;0.10;NA;NA;NA;NA;NA;NA;NA;11.88;NA;NA;NA;NA;NA;0.57;-11.31;1st quartile deficit total;deficit;4th quartile;highest group
Australia;Asia-Pacific;23.05;0.93;66604.2;2.68;0.63;0.89;4.85;0.11;9.31;5.42;5.81;2.01;3.19;0.14;16.57;7.26;4th quartile deficit total;reserve;4th quartile;highest group
Austria;European Union;8.46;0.88;51274.1;0.82;0.27;0.63;4.14;0.06;6.06;0.71;0.16;2.04;0;0.15;3.07;-3;1st quartile deficit total;deficit;4th quartile;highest group
Azerbaijan;Middle East/Central Asia;9.31;0.75;7106.04;0.66;0.22;0.11;1.25;0.01;2.31;0.46;0.2;0.11;0.02;0.06;0.85;-1.46;2nd quartile deficit total;deficit;3rd quartile;highest group
Bahamas;Latin America;0.37;0.78;22647.3;0.97;1.05;0.19;4.46;0.14;6.84;0.05;0;1.18;8.27;0.04;9.55;2.71;4th quartile deficit total;reserve;4th quartile;highest group
Bahrain;Middle East/Central Asia;1.32;0.82;24299;0.52;0.45;0.16;6.19;0.07;7.49;0.01;0;0;0.46;0.1;0.58;-6.91;1st quartile deficit total;deficit;4th quartile;highest group
Bangladesh;Asia-Pacific;154.70;0.56;857.5;0.29;0;0.08;0.26;0.02;0.72;0.25;0;0;0.05;0.07;0.38;-0.35;3rd quartile deficit total;deficit;1st quartile;lowest group
Barbados;Latin America;0.28;0.79;15722.8;0.56;0.24;0.14;3.28;0.22;4.48;0.08;0;0.02;0.04;0.04;0.19;-4.29;1st quartile deficit total;deficit;4th quartile;highest group
Belarus;Northern/Eastern Europe;9.40;0.8;6300.45;1.32;0.12;0.91;2.57;0.08;5.09;1.52;0.3;1.71;0.02;0.09;3.64;-1.45;2nd quartile deficit total;deficit;3rd quartile;highest group
Belgium;European Union;11.06;0.89;48053.3;1.15;0.48;0.99;4.43;0.12;7.44;0.56;0.03;0.28;0.04;0.27;1.19;-6.25;1st quartile deficit total;deficit;4th quartile;highest group
Benin;Africa;10.05;0.48;746.83;0.49;0.04;0.26;0.51;0.08;1.41;0.44;0.04;0.34;0.02;0.04;0.88;-0.53;3rd quartile deficit total;deficit;1st quartile;lowest group
Bermuda;North America;0.06;NA;70626.3;NA;NA;NA;NA;NA;5.77;NA;NA;NA;NA;NA;0.13;-5.64;1st quartile deficit total;deficit;4th quartile;highest group
Bhutan;Asia-Pacific;0.74;0.59;2395;0.5;0.42;3.03;0.63;0.02;4.84;0.28;0.34;4.38;0.01;0.25;5.27;0.43;4th quartile deficit total;reserve;2nd quartile;lowest group
Bolivia;Latin America;10.50;0.65;2253.09;0.37;1.69;0.17;0.67;0.01;2.96;0.59;2.18;13.86;0.05;0.06;16.73;13.77;4th quartile deficit total;reserve;2nd quartile;lowest group
Bosnia and Herzegovina;Northern/Eastern Europe;3.83;0.73;4708.85;0.63;0.27;0.44;1.74;0.02;3.12;0.3;0.19;1.13;0;0.02;1.63;-1.49;2nd quartile deficit total;deficit;2nd quartile;highest group
Botswana;Africa;2.00;0.69;7743.5;0.3;0.89;0.24;2.36;0.01;3.83;0.06;2.49;0.63;0.27;0.02;3.47;-0.35;3rd quartile deficit total;deficit;3rd quartile;highest group
Brazil;Latin America;198.66;0.75;13237.6;0.62;0.85;0.6;0.91;0.04;3.11;1;1;6.82;0.17;0.09;9.08;5.97;4th quartile deficit total;reserve;3rd quartile;highest group
British Virgin Islands;Latin America;0.03;NA;NA;NA;NA;NA;NA;NA;2.86;NA;NA;NA;NA;NA;2.05;-0.81;2nd quartile deficit total;deficit;4th quartile;highest group
Brunei Darussalam;Asia-Pacific;0.41;0.85;47097.4;0.31;0.13;0.26;3.24;0.09;4.06;0.02;0.01;1.57;1.24;0.03;2.87;-1.19;2nd quartile deficit total;deficit;4th quartile;highest group
Bulgaria;European Union;7.28;0.78;7615.28;0.6;0.13;0.35;2.08;0.03;3.32;1.33;0.08;1.2;0.12;0.13;2.86;-0.46;3rd quartile deficit total;deficit;3rd quartile;highest group
Burkina Faso;Africa;16.46;0.39;671.07;0.47;0.17;0.36;0.12;0.03;1.21;0.5;0.17;0.25;0;0.05;0.98;-0.22;3rd quartile deficit total;deficit;1st quartile;lowest group
Burundi;Africa;9.85;0.39;276.69;0.21;0.07;0.45;0.04;0;0.8;0.2;0.07;0.01;0.01;0.03;0.32;-0.48;3rd quartile deficit total;deficit;1st quartile;lowest group
Cape Verde;Africa;0.49;0.64;3801.45;NA;NA;NA;NA;NA;2.52;NA;NA;NA;NA;NA;0.62;-1.9;2nd quartile deficit total;deficit;2nd quartile;lowest group
Cambodia;Asia-Pacific;14.86;0.55;877.64;NA;NA;NA;NA;NA;1.21;NA;NA;NA;NA;NA;1.09;-0.11;3rd quartile deficit total;deficit;1st quartile;lowest group
Cameroon;Africa;21.70;0.5;1271.21;0.54;0.1;0.21;0.19;0.08;1.17;0.55;0.1;0.92;0.08;0.05;1.69;0.52;4th quartile deficit total;reserve;1st quartile;lowest group
Canada;North America;34.84;0.91;52145.4;1.46;0.33;1.2;5;0.12;8.17;3.11;0.29;9.12;3.41;0.07;16.01;7.83;4th quartile deficit total;reserve;4th quartile;highest group
Cayman Islands;Latin America;0.06;NA;NA;0.36;0.45;1.23;3.56;0.05;5.65;0;0.02;0.19;0.11;0;0.32;-5.33;1st quartile deficit total;deficit;4th quartile;highest group
Central African Republic;Africa;4.53;0.37;495.04;0.3;0.55;0.26;0.08;0.02;1.24;0.29;0.57;6.98;0;0.04;7.87;6.62;4th quartile deficit total;reserve;1st quartile;lowest group
Chad;Africa;12.45;0.39;1161.22;0.36;0.75;0.27;0.01;0.01;1.46;0.35;1.15;0.41;0.07;0.05;2.03;0.57;4th quartile deficit total;reserve;1st quartile;lowest group
Chile;Latin America;17.46;0.83;14525.8;0.61;0.33;0.99;2.04;0.25;4.36;0.47;0.45;2.19;0.38;0.15;3.63;-0.73;2nd quartile deficit total;deficit;4th quartile;highest group
China;Asia-Pacific;1408.04;0.72;5560.94;0.55;0.13;0.19;2.32;0.08;3.38;0.46;0.1;0.22;0.04;0.12;0.94;-2.44;1st quartile deficit total;deficit;3rd quartile;highest group
Colombia;Latin America;47.70;0.72;7305.22;0.35;0.58;0.16;0.67;0.03;1.87;0.22;1.13;2.09;0.07;0.09;3.6;1.72;4th quartile deficit total;reserve;3rd quartile;highest group
Comoros;Africa;0.72;0.5;860.24;0.33;0.03;0.18;0.25;0.25;1.03;0.23;0.01;0.02;0.07;0;0.32;-0.7;3rd quartile deficit total;deficit;1st quartile;lowest group
Congo;Africa;4.34;0.57;1943.69;0.22;0.09;0.38;0.47;0.1;1.29;0.13;3.06;7.33;0.35;0.03;10.91;9.63;4th quartile deficit total;reserve;2nd quartile;lowest group
Democratic Republic of the Congo;Africa;65.70;0.42;338.63;0.15;0.01;0.51;0.07;0.01;0.82;0.13;0.32;2.52;0.05;0.05;3.07;2.25;4th quartile deficit total;reserve;1st quartile;lowest group
Costa Rica;Latin America;4.80;0.76;8979.96;0.4;0.21;0.68;1.37;0.08;2.84;0.38;0.3;0.63;0.12;0.1;1.53;-1.31;2nd quartile deficit total;deficit;3rd quartile;highest group
Cote d'Ivoire;Africa;19.84;NA;1016.83;0.51;0.06;0.22;0.26;0.14;1.27;0.88;0.3;0.48;0.04;0.08;1.78;0.51;4th quartile deficit total;reserve;1st quartile;highest group
Croatia;Northern/Eastern Europe;4.31;0.82;14522.8;0.74;0.13;0.72;2.21;0.06;3.92;0.68;0.19;1.55;0.33;0.06;2.8;-1.12;2nd quartile deficit total;deficit;3rd quartile;highest group
Cuba;Latin America;11.27;0.77;5175.94;0.48;0.11;0.09;1.23;0.02;1.95;0.26;0.09;0.23;0.16;0.03;0.76;-1.19;2nd quartile deficit total;deficit;2nd quartile;highest group
Cyprus;European Union;1.13;0.85;31454.7;0.77;0.08;0.23;2.94;0.14;4.21;0.18;0;0.06;0.06;0.05;0.34;-3.87;1st quartile deficit total;deficit;4th quartile;highest group
Czech Republic;European Union;10.66;0.87;21676.3;0.62;0.24;0.74;3.42;0.03;5.19;0.94;0.07;1.31;0;0.13;2.46;-2.73;1st quartile deficit total;deficit;4th quartile;highest group
Denmark;European Union;5.60;0.92;61413.6;1.18;0.47;0.77;2.6;0.24;5.51;2.38;0.01;0.34;1.8;0.25;4.78;-0.73;2nd quartile deficit total;deficit;4th quartile;highest group
Djibouti;Africa;0.86;0.46;1433.17;NA;NA;NA;NA;NA;2.19;NA;NA;NA;NA;NA;0.77;-1.42;2nd quartile deficit total;deficit;1st quartile;lowest group
Dominica;Latin America;0.07;0.72;7088.01;0.64;0.15;0.14;1.47;0.17;2.57;0.4;0.01;0.52;0.1;0;1.03;-1.54;2nd quartile deficit total;deficit;3rd quartile;highest group
Dominican Republic;Latin America;10.28;0.71;6085.89;0.35;0.12;0.12;0.86;0.04;1.53;0.22;0.11;0.16;0.02;0.05;0.56;-0.97;2nd quartile deficit total;deficit;3rd quartile;highest group
Ecuador;Latin America;15.49;0.73;5192.88;0.3;0.3;0.24;1.08;0.18;2.17;0.32;0.3;1.41;0.11;0.06;2.2;0.03;3rd quartile deficit total;reserve;2nd quartile;highest group
Egypt;Africa;80.72;0.69;2930.33;0.68;0.08;0.17;1.02;0.04;2.15;0.38;0;0;0.02;0.15;0.56;-1.59;2nd quartile deficit total;deficit;2nd quartile;highest group
El Salvador;Latin America;6.30;0.66;3696.33;0.44;0.21;0.4;0.84;0.14;2.07;0.27;0.15;0.04;0.11;0.05;0.61;-1.46;2nd quartile deficit total;deficit;2nd quartile;lowest group
Equatorial Guinea;Africa;0.74;0.58;24064;0.27;0.02;0.26;3.17;0.22;3.97;0.13;0.15;3.1;1.01;0.02;4.4;0.44;4th quartile deficit total;reserve;4th quartile;lowest group
Eritrea;Africa;6.13;0.39;439.73;0.1;0.18;0.06;0.03;0.01;0.42;0.07;0.18;0.09;0.93;0.02;1.3;0.88;4th quartile deficit total;reserve;1st quartile;lowest group
Estonia;European Union;1.29;0.85;17304.4;NA;NA;NA;NA;NA;6.86;NA;NA;NA;NA;NA;10.53;3.67;4th quartile deficit total;reserve;4th quartile;highest group
Ethiopia;Africa;91.73;0.43;379.38;0.31;0.12;0.46;0.07;0;1.02;0.31;0.12;0.05;0.04;0.06;0.58;-0.44;3rd quartile deficit total;deficit;1st quartile;lowest group
Fiji;Asia-Pacific;0.88;0.72;4201.37;0.55;0.2;0.42;1.06;0.62;2.9;0.28;0.09;1.3;0.65;0.04;2.37;-0.52;3rd quartile deficit total;deficit;2nd quartile;highest group
Finland;European Union;5.41;0.88;50960.2;NA;NA;NA;NA;NA;5.87;NA;NA;NA;NA;NA;13.44;7.57;4th quartile deficit total;reserve;4th quartile;highest group
France;European Union;63.98;0.89;45430.3;1.23;0.27;0.53;2.71;0.19;5.14;1.67;0.16;0.96;0.11;0.21;3.11;-2.04;1st quartile deficit total;deficit;4th quartile;highest group
French Guiana;Latin America;0.24;NA;NA;0.07;0.06;0.46;1.58;0.17;2.34;0.07;0.06;95.16;16.07;0;111.35;109.01;4th quartile deficit total;reserve;4th quartile;highest group
French Polynesia;Asia-Pacific;0.27;NA;NA;0.75;0.65;0.12;2.39;0.82;4.73;0.19;0.03;0.73;0.42;0;1.37;-3.36;1st quartile deficit total;deficit;4th quartile;highest group
Gabon;Africa;1.63;0.67;11989;0.53;0.13;0.79;0.43;0.11;2.02;0.25;3.6;19.5;2.93;0.03;26.31;24.29;4th quartile deficit total;reserve;3rd quartile;lowest group
Gambia;Africa;1.79;0.44;505.76;0.46;0.05;0.2;0.21;0.08;1.03;0.23;0.04;0.2;0.32;0.03;0.82;-0.21;3rd quartile deficit total;deficit;1st quartile;lowest group
Georgia;Middle East/Central Asia;4.36;0.75;3710.7;0.39;0.2;0.1;0.83;0.02;1.58;0.12;0.36;0.61;0.05;0.04;1.17;-0.41;3rd quartile deficit total;deficit;2nd quartile;highest group
Germany;European Union;82.80;0.91;46822.4;1.1;0.14;0.48;3.28;0.05;5.3;1.23;0.06;0.68;0.07;0.24;2.27;-3.02;1st quartile deficit total;deficit;4th quartile;highest group
Ghana;Africa;25.37;0.57;1627.9;0.56;0.07;0.65;0.43;0.19;1.97;0.67;0.26;0.29;0.06;0.07;1.35;-0.62;3rd quartile deficit total;deficit;2nd quartile;lowest group
Greece;European Union;11.12;0.86;25987.4;1.07;0.35;0.24;2.58;0.08;4.38;1.01;0.14;0.23;0.17;0.06;1.61;-2.77;1st quartile deficit total;deficit;4th quartile;highest group
Grenada;Latin America;0.10;0.74;7410.48;NA;NA;NA;NA;NA;2.98;NA;NA;NA;NA;NA;1.96;-1.01;2nd quartile deficit total;deficit;3rd quartile;highest group
Guadeloupe;Latin America;0.46;NA;NA;0.11;0.03;0.16;2.61;0.31;3.23;0.11;0.03;0.13;0.18;0;0.45;-2.77;1st quartile deficit total;deficit;4th quartile;highest group
Guatemala;Latin America;15.08;0.62;3233.8;0.37;0.16;0.58;0.7;0.01;1.89;0.38;0.15;0.34;0.05;0.07;0.99;-0.9;2nd quartile deficit total;deficit;2nd quartile;lowest group
Guinea;Africa;11.45;0.41;459.09;0.39;0.32;0.45;0.16;0.05;1.41;0.35;0.75;0.64;0.3;0.04;2.09;0.68;4th quartile deficit total;reserve;1st quartile;lowest group
Guinea-Bissau;Africa;1.66;0.42;681.25;0.35;0.36;0.67;0.09;0.01;1.53;0.48;0.36;0.34;1.79;0.06;3.03;1.49;4th quartile deficit total;reserve;1st quartile;lowest group
Guyana;Latin America;0.80;0.63;3269.46;0.7;0.22;0.77;1.25;0.06;3.07;0.69;1.51;59.19;5.12;0.06;66.58;63.51;4th quartile deficit total;reserve;2nd quartile;lowest group
Haiti;Latin America;10.17;0.48;749.13;0.27;0.04;0.1;0.15;0.01;0.61;0.18;0.03;0.01;0.01;0.03;0.27;-0.34;3rd quartile deficit total;deficit;1st quartile;lowest group
Honduras;Latin America;7.94;0.61;2269.51;0.28;0.25;0.5;0.6;0;1.68;0.33;0.26;0.89;0.23;0.06;1.77;0.09;3rd quartile deficit total;reserve;2nd quartile;lowest group
Hungary;European Union;9.98;0.82;13964.2;0.42;0.08;0.36;1.9;0.02;2.92;1.28;0.06;0.69;0;0.13;2.17;-0.75;2nd quartile deficit total;deficit;3rd quartile;highest group
India;Asia-Pacific;1236.69;0.6;1513.85;0.34;0.01;0.14;0.61;0.02;1.16;0.35;0;0.02;0.03;0.05;0.45;-0.71;3rd quartile deficit total;deficit;1st quartile;lowest group
Indonesia;Asia-Pacific;246.86;0.68;3688.53;0.44;0.03;0.2;0.64;0.21;1.58;0.46;0.06;0.3;0.38;0.06;1.26;-0.32;3rd quartile deficit total;deficit;2nd quartile;lowest group
Islamic Republic of Iran;Middle East/Central Asia;76.42;0.76;7511.1;0.69;0.09;0.07;1.72;0.12;2.79;0.48;0.07;0.06;0.19;0.09;0.9;-1.89;2nd quartile deficit total;deficit;3rd quartile;highest group
Iraq;Middle East/Central Asia;32.78;0.65;5848.54;0.43;0.03;0.01;1.36;0.01;1.88;0.18;0.02;0.05;0;0.04;0.29;-1.59;2nd quartile deficit total;deficit;3rd quartile;lowest group
Ireland;European Union;4.58;0.91;52853.6;1.08;0.49;0.46;3.22;0.18;5.57;0.84;0.76;0.5;1.49;0.13;3.73;-1.83;2nd quartile deficit total;deficit;4th quartile;highest group
Israel;Middle East/Central Asia;7.64;0.89;33718.9;0.89;0.22;0.36;4.59;0.07;6.22;0.22;0.01;0.03;0.02;0.08;0.35;-5.87;1st quartile deficit total;deficit;4th quartile;highest group
Italy;European Union;60.92;0.87;38412;0.91;0.32;0.42;2.77;0.12;4.61;0.58;0.04;0.33;0.06;0.06;1.08;-3.53;1st quartile deficit total;deficit;4th quartile;highest group
Jamaica;Latin America;2.77;0.72;5226.3;0.41;0.09;0.18;1.09;0.07;1.89;0.16;0;0.1;0.11;0.05;0.43;-1.46;2nd quartile deficit total;deficit;2nd quartile;highest group
Japan;Asia-Pacific;127.25;0.89;46201.6;0.53;0.1;0.27;3.69;0.33;5.02;0.16;0;0.35;0.1;0.1;0.72;-4.3;1st quartile deficit total;deficit;4th quartile;highest group
Jordan;Middle East/Central Asia;7.01;0.75;4615.17;0.54;0.18;0.17;1.09;0.03;2.1;0.09;0.02;0.03;0;0.07;0.21;-1.89;2nd quartile deficit total;deficit;2nd quartile;highest group
Kazakhstan;Middle East/Central Asia;16.27;0.78;11278;0.58;0.19;0.12;4.59;0.03;5.55;1.14;1.93;0.24;0.06;0.03;3.41;-2.14;1st quartile deficit total;deficit;3rd quartile;highest group
Kenya;Africa;43.18;0.54;1062.11;0.25;0.23;0.27;0.2;0.05;1.03;0.2;0.24;0.02;0.02;0.04;0.51;-0.52;3rd quartile deficit total;deficit;1st quartile;lowest group
Democratic People's Republic of Korea;Asia-Pacific;24.76;NA;NA;0.28;0;0.14;0.68;0.02;1.17;0.24;0;0.21;0.09;0.06;0.6;-0.57;3rd quartile deficit total;deficit;4th quartile;highest group
Republic of Korea;Asia-Pacific;49.00;0.89;24155.8;0.71;0.12;0.21;4.17;0.41;5.69;0.13;0;0.09;0.4;0.06;0.68;-5.01;1st quartile deficit total;deficit;4th quartile;highest group
